Date,"Cases Reviewed by the Prosecutor ","Cases Reviewed by the Prosecutor Error / Warning","Cases Prosecuted ","Cases Prosecuted Error / Warning","Cases Rejected for Prosecution ","Cases Rejected for Prosecution Error / Warning","Cases Diverted Before Charges Filed ","Cases Diverted Before Charges Filed Error / Warning","Cases Diverted After Charges Filed ","Cases Diverted After Charges Filed Error / Warning","Cases Reviewed by the Prosecutor: Misdemeanors ","Cases Reviewed by the Prosecutor: Misdemeanors Error / Warning","Misdemeanors Prosecuted ","Misdemeanors Prosecuted Error / Warning","Misdemeanor Cases Rejected for Prosecution ","Misdemeanor Cases Rejected for Prosecution Error / Warning","Cases Diverted Before Charges Filed: Misdemeanors ","Cases Diverted Before Charges Filed: Misdemeanors Error / Warning","Cases Diverted After Charges Filed: Misdemeanors ","Cases Diverted After Charges Filed: Misdemeanors Error / Warning","Cases Reviewed by the Prosecutor: Felonies ","Cases Reviewed by the Prosecutor: Felonies Error / Warning","Felonies Prosecuted ","Felonies Prosecuted Error / Warning","Felony Cases Rejected for Prosecution ","Felony Cases Rejected for Prosecution Error / Warning","Cases Diverted Before Charges Filed: Felonies ","Cases Diverted Before Charges Filed: Felonies Error / Warning","Cases Diverted After Charges Filed: Felonies ","Cases Diverted After Charges Filed: Felonies Error / Warning"
Feb '20,560,,379,,134,,19,,28,,427,,283,,106,,17,,21,,123,,89,,26,,1,,7,
Mar '20,489,,345,,110,,7,,27,,384,,268,,88,,7,,21,,102,,75,,21,,0,,6,
Apr '20,404,,302,,93,,1,,8,,304,,233,,68,,1,,2,,95,,64,,25,,0,,6,
May '20,335,,255,,59,,8,,13,,216,,156,,41,,8,,11,,118,,98,,18,,0,,2,
Jun '20,410,,281,,100,,11,,18,,278,,179,,74,,11,,14,,128,,99,,25,,0,,4,
Jul '20,464,,314,,104,,9,,37,,329,,209,,83,,9,,28,,132,,102,,21,,0,,9,
Aug '20,400,,274,,82,,6,,38,,285,,184,,65,,6,,30,,112,,88,,17,,0,,7,
Sep '20,533,,371,,104,,9,,49,,418,,283,,83,,9,,43,,112,,86,,20,,0,,6,
Oct '20,536,,405,,81,,8,,42,,412,,312,,59,,7,,34,,121,,90,,22,,1,,8,
Nov '20,352,,246,,71,,2,,33,,257,,177,,51,,2,,27,,90,,65,,19,,0,,6,
Dec '20,348,,222,,91,,5,,30,,231,,138,,61,,5,,27,,116,,83,,30,,0,,3,
Jan '21,357,,188,,65,,44,,60,,237,,102,,43,,42,,50,,115,,82,,22,,1,,10,
Feb '21,432,,209,,64,,71,,88,,322,,136,,43,,71,,72,,109,,72,,21,,0,,16,
Mar '21,390,,192,,80,,52,,66,,263,,104,,60,,50,,49,,125,,87,,20,,2,,16,
Apr '21,478,,283,,90,,36,,69,,339,,191,,63,,32,,53,,135,,90,,27,,4,,14,
May '21,445,,256,,77,,41,,71,,302,,157,,56,,36,,53,,136,,95,,21,,4,,16,
Jun '21,525,,302,,71,,60,,92,,340,,165,,46,,54,,75,,182,,136,,25,,5,,16,
Jul '21,472,,245,,90,,77,,60,,318,,136,,66,,68,,48,,151,,106,,24,,9,,12,
Aug '21,552,,300,,112,,79,,61,,335,,147,,74,,69,,45,,207,,146,,37,,9,,15,
Sep '21,629,,356,,129,,63,,81,,413,,213,,88,,57,,55,,210,,139,,41,,6,,24,
Oct '21,555,,304,,126,,53,,72,,382,,188,,90,,52,,52,,171,,115,,36,,0,,20,
Nov '21,505,,280,,84,,84,,57,,377,,196,,57,,79,,45,,124,,82,,26,,5,,11,
Dec '21,471,,248,,103,,61,,59,,327,,152,,66,,57,,52,,142,,95,,37,,3,,7,
Jan '22,477,,267,,121,,42,,47,,355,,192,,92,,37,,34,,119,,72,,29,,5,,13,
Feb '22,417,,286,,51,,7,,73,,298,,194,,44,,4,,56,,118,,91,,7,,3,,17,