Date,"Cases Closed ","Cases Closed Error / Warning","Cases Dismissed ","Cases Dismissed Error / Warning","Not Guilty Verdicts at Jury Trial ","Not Guilty Verdicts at Jury Trial Error / Warning","Not Guilty Verdicts at Bench Trial ","Not Guilty Verdicts at Bench Trial Error / Warning","Guilty Verdicts at Jury Trial ","Guilty Verdicts at Jury Trial Error / Warning","Guilty Verdicts at Bench Trial ","Guilty Verdicts at Bench Trial Error / Warning","Guilty Pleas ","Guilty Pleas Error / Warning","Cases that Ended With Other Dispositions ","Cases that Ended With Other Dispositions Error / Warning","Cases Closed: Misdemeanors ","Cases Closed: Misdemeanors Error / Warning","Cases Dismissed: Misdemeanors  ","Cases Dismissed: Misdemeanors  Error / Warning","Not Guilty Verdicts at Jury Trial: Misdemeanors ","Not Guilty Verdicts at Jury Trial: Misdemeanors Error / Warning","Not Guilty Verdicts at Bench Trial: Misdemeanors ","Not Guilty Verdicts at Bench Trial: Misdemeanors Error / Warning","Guilty Verdicts at Jury Trial: Misdemeanors ","Guilty Verdicts at Jury Trial: Misdemeanors Error / Warning","Guilty Verdicts at Bench Trial: Misdemeanors ","Guilty Verdicts at Bench Trial: Misdemeanors Error / Warning","Guilty Pleas: Misdemeanors ","Guilty Pleas: Misdemeanors Error / Warning","Cases that Ended With Other Dispositions: Misdemeanors ","Cases that Ended With Other Dispositions: Misdemeanors Error / Warning","Cases Closed: Felonies ","Cases Closed: Felonies Error / Warning","Cases Dismissed: Felonies  ","Cases Dismissed: Felonies  Error / Warning","Not Guilty Verdicts at Jury Trial: Felonies ","Not Guilty Verdicts at Jury Trial: Felonies Error / Warning","Not Guilty Verdicts at Bench Trial: Felonies ","Not Guilty Verdicts at Bench Trial: Felonies Error / Warning","Guilty Verdicts at Jury Trial: Felonies ","Guilty Verdicts at Jury Trial: Felonies Error / Warning","Guilty Verdicts at Bench Trial: Felonies ","Guilty Verdicts at Bench Trial: Felonies Error / Warning","Guilty Pleas: Felonies ","Guilty Pleas: Felonies Error / Warning","Cases that Ended With Other Dispositions: Felonies ","Cases that Ended With Other Dispositions: Felonies Error / Warning"
Feb '20,372,,166,,0,,0,,1,,0,,175,,1,,267,,152,,0,,0,,0,,0,,96,,0,,100,,14,,0,,0,,1,,0,,79,,1,
Mar '20,221,,92,,0,,0,,0,,1,,101,,3,,146,,74,,0,,0,,0,,0,,52,,1,,74,,17,,0,,0,,0,,1,,49,,2,
Apr '20,27,,9,,0,,0,,0,,0,,10,,0,,13,,9,,0,,0,,0,,0,,2,,0,,14,,0,,0,,0,,0,,0,,8,,0,
May '20,90,,52,,0,,0,,0,,0,,22,,0,,56,,41,,0,,0,,0,,0,,5,,0,,31,,10,,0,,0,,0,,0,,17,,0,
Jun '20,148,,70,,0,,0,,0,,0,,60,,1,,97,,53,,0,,0,,0,,0,,31,,0,,50,,17,,0,,0,,0,,0,,29,,1,
Jul '20,235,,101,,0,,0,,1,,0,,101,,0,,181,,89,,0,,0,,1,,0,,65,,0,,53,,11,,0,,0,,0,,0,,36,,0,
Aug '20,282,,117,,0,,0,,2,,0,,126,,0,,230,,108,,0,,0,,0,,0,,91,,0,,51,,8,,0,,0,,2,,0,,35,,0,
Sep '20,315,,122,,0,,0,,2,,0,,146,,0,,251,,101,,0,,0,,2,,0,,107,,0,,61,,18,,0,,0,,0,,0,,39,,0,
Oct '20,256,,103,,0,,0,,2,,0,,111,,1,,194,,85,,0,,0,,0,,0,,77,,0,,61,,18,,0,,0,,2,,0,,34,,1,
Nov '20,258,,102,,1,,0,,0,,0,,124,,0,,191,,89,,1,,0,,0,,0,,77,,0,,65,,12,,0,,0,,0,,0,,47,,0,
Dec '20,275,,107,,0,,0,,1,,1,,133,,6,,210,,92,,0,,0,,0,,1,,89,,5,,64,,15,,0,,0,,1,,0,,44,,1,
Jan '21,294,,123,,0,,0,,1,,0,,116,,0,,224,,101,,0,,0,,0,,0,,76,,0,,67,,22,,0,,0,,1,,0,,40,,0,
Feb '21,336,,149,,0,,0,,0,,0,,98,,1,,272,,140,,0,,0,,0,,0,,60,,1,,57,,6,,0,,0,,0,,0,,38,,0,
Mar '21,285,,118,,0,,0,,0,,0,,103,,0,,206,,100,,0,,0,,0,,0,,60,,0,,73,,17,,0,,0,,0,,0,,43,,0,
Apr '21,243,,87,,1,,0,,2,,0,,88,,1,,159,,65,,1,,0,,1,,0,,44,,0,,80,,22,,0,,0,,1,,0,,44,,1,
May '21,272,,96,,1,,0,,2,,0,,100,,3,,164,,60,,0,,0,,1,,0,,54,,1,,103,,35,,1,,0,,1,,0,,46,,2,
Jun '21,267,,65,,0,,0,,3,,0,,110,,1,,178,,61,,0,,0,,1,,0,,45,,1,,87,,4,,0,,0,,2,,0,,65,,0,
Jul '21,274,,115,,0,,0,,1,,0,,101,,1,,170,,94,,0,,0,,1,,0,,32,,0,,98,,21,,0,,0,,0,,0,,69,,1,
Aug '21,298,,114,,1,,0,,0,,0,,120,,0,,177,,80,,1,,0,,0,,0,,51,,0,,113,,33,,0,,0,,0,,0,,69,,0,
Sep '21,282,,92,,0,,0,,1,,0,,108,,1,,162,,69,,0,,0,,0,,0,,40,,0,,117,,22,,0,,0,,1,,0,,68,,1,
Oct '21,244,,81,,0,,0,,2,,0,,90,,2,,141,,54,,0,,0,,0,,0,,38,,0,,98,,27,,0,,0,,2,,0,,52,,2,
Nov '21,208,,64,,0,,0,,0,,0,,88,,1,,134,,39,,0,,0,,0,,0,,49,,1,,71,,23,,0,,0,,0,,0,,39,,0,
Dec '21,216,,75,,0,,0,,2,,0,,78,,2,,162,,60,,0,,0,,1,,0,,50,,0,,48,,13,,0,,0,,1,,0,,28,,2,
Jan '22,173,,51,,0,,0,,0,,0,,72,,5,,108,,33,,0,,0,,0,,0,,39,,1,,65,,18,,0,,0,,0,,0,,33,,4,
Feb '22,274,,99,,1,,0,,1,,0,,99,,9,,175,,77,,0,,0,,1,,0,,49,,0,,99,,22,,1,,0,,0,,0,,50,,9,